PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),MLS,LATITUDE,LONGITUDE
Single Family Residential,125 Brook Ave,Boston,MA,2125,699999,5,3,Boston,2350,4094,1900,6,298,,http://www.redfin.com/MA/Boston/125-Brook-Ave-02125/home/9064728,72896088,42.3203415,-71.0726423
Condo/Co-op,15 Harvest St #3,Boston,MA,2125,529999,2,1,Boston,874,874,1896,6,606,125,http://www.redfin.com/MA/Dorchester/15-Harvest-St-02125/unit-3/home/28646735,72896029,42.3229195,-71.0575071
Multi-Family (2-4 Unit),30-32 Westmore Rd,Boston,MA,2126,579900,6,2,Boston,2471,4052,1925,7,235,,http://www.redfin.com/MA/Boston/30-Westmore-Rd-02126/home/9159238,72895108,42.2843671,-71.0963474
Condo/Co-op,15a Goodway #1,Boston,MA,2130,645000,2,2,Jamaica Plain,1154,,1920,7,559,208,http://www.redfin.com/MA/Boston/15-15A-Goodway-Rd-02130/unit-1/home/9152742,72895042,42.28958419,-71.11543404
Condo/Co-op,121 Salem St Unit 2C,Boston,MA,2113,475000,1,1,Boston,460,460,1920,13,1033,198,http://www.redfin.com/MA/Boston/121-Salem-St-02113/unit-2C/home/9278424,72892398,42.3645604,-71.0553766
Condo/Co-op,60 Bryon Rd #1,Boston,MA,2467,339999,2,1,Chestnut Hill,786,786,1950,13,433,298,http://www.redfin.com/MA/Chestnut-Hill/60-Bryon-Rd-02467/unit-1/home/9204335,72892351,42.3014659,-71.1674548
Condo/Co-op,7 Fairbanks St #2,Boston,MA,2135,424999,2,1,Boston,970,970,1910,22,438,250,http://www.redfin.com/MA/Brighton/7-Fairbanks-St-02135/unit-2/home/9328874,72888234,42.3493675,-71.1628381
Single Family Residential,21 Pierpont Rd,Boston,MA,2132,1199000,3,2.5,West Roxbury,2331,7500,1920,35,514,,http://www.redfin.com/MA/West-Roxbury/21-Pierpont-Rd-02132/home/9203144,72883061,42.2911207,-71.1491452
Condo/Co-op,501 E 5Th St #3,Boston,MA,2127,824999,2,1,Boston,1115,1115,1890,42,740,158,http://www.redfin.com/MA/Boston/501-E-5th-St-02127/unit-3/home/9309350,72879564,42.3337586,-71.0407723
Condo/Co-op,180 COMMONWEALTH Ave #7,Boston,MA,2116,1275000,3,2,Back Bay,1070,1070,1925,51,1192,640,http://www.redfin.com/MA/Boston/180-Commonwealth-Ave-02116/unit-7/home/9265011,72874825,42.3510958,-71.0795365
Single Family Residential,5023 Washington St,Boston,MA,2132,625000,4,2,Boston,1134,4052,1950,56,551,,http://www.redfin.com/MA/West-Roxbury/5023-Washington-St-02132/home/9218792,72872636,42.2660368,-71.1523016
Multi-Family (2-4 Unit),90 Milton Ave,Boston,MA,2124,744000,6,3,Boston,2857,3380,1920,57,260,,http://www.redfin.com/MA/Boston/90-Milton-Ave-02124/home/11834834,72871981,42.2827665,-71.0760778
Condo/Co-op,997-1003 Saratoga St #2,Boston,MA,2128,259000,1,1,Boston,559,559,1910,69,463,100,http://www.redfin.com/MA/Boston/997-Saratoga-St-02128/unit-2/home/21717576,72866026,42.386406,-71.0068003
Condo/Co-op,12 Stoneholm St #502,Boston,MA,2115,485000,1,1,Boston,575,458,1970,22,843,504,http://www.redfin.com/MA/Boston/12-Stoneholm-St-02115/unit-502/home/12439567,72861266,42.3457137,-71.0885115
Condo/Co-op,5 Linda Ln Unit 4-3,Boston,MA,2125,335000,1,1,Boston,675,675,1965,1,496,294,http://www.redfin.com/MA/Boston/5-Linda-Ln-02125/unit-4-3/home/9063218,72876910,42.3122334,-71.0506477
Condo/Co-op,78 Montebello Rd #2,Jamaica Plain,MA,2130,599000,2,1,,1077,,1905,,556,,http://www.redfin.com/MA/Jamaica-Plain/78-Montebello-Rd-02130/unit-2/home/11737802,,42.3119557,-71.0997078
Condo/Co-op,70 Lincoln St Unit L413,Boston,MA,2111,870000,2,2,Boston,1055,1055,2006,5,825,708,http://www.redfin.com/MA/Boston/70-Lincoln-St-02111/unit-L413/home/12440257,72841787,42.352092,-71.0579088
Condo/Co-op,293 Beacon St #8,Boston,MA,2116,675000,1,1,Boston,565,565,1899,54,1195,376,http://www.redfin.com/MA/Boston/293-Beacon-St-02116/unit-8/home/9248612,72855840,42.3529657,-71.0808132
Condo/Co-op,614 Columbus Ave #8,Boston,MA,2118,780000,2,1.5,Boston,994,1708,1890,47,785,422,http://www.redfin.com/MA/Boston/614-Columbus-Ave-02118/unit-8/home/9287648,72857762,42.3395884,-71.0828143
Condo/Co-op,43 Anderson St #2,Boston,MA,2114,705000,1,1,Boston,650,650,1900,50,1085,292,http://www.redfin.com/MA/Boston/43-Anderson-St-02114/unit-2/home/9257453,72837966,42.359617,-71.0679195
Condo/Co-op,65 E India Row Unit 15H,Boston,MA,2110,785000,1,1,Boston,883,883,1970,12,889,797,http://www.redfin.com/MA/Boston/65-E-India-Row-02110/unit-15H/home/9260812,72856748,42.3576699,-71.0504859
Condo/Co-op,238 S Huntington Ave #6,Boston,MA,2130,505000,2,1,Boston,893,893,1935,27,566,366,http://www.redfin.com/MA/Jamaica-Plain/238-S-Huntington-Ave-02130/unit-6/home/9242123,72859529,42.3249764,-71.1119638
Condo/Co-op,74 Fenway #32,Boston,MA,2115,455000,1,1,Boston,425,425,1925,2,1071,223,http://www.redfin.com/MA/Boston/74-Fenway-02115/unit-32/home/11836979,72876920,42.3427395,-71.09087
Single Family Residential,22 Nancy Rd,Dedham,MA,2026,426000,2,1,Dedham,810,8099,1950,13,526,,http://www.redfin.com/MA/Dedham/22-Nancy-Rd-02026/home/8851860,72849308,42.2546611,-71.1600067
Townhouse,21 Dorr St Unit A,Boston,MA,2119,815000,3,2.5,Boston,2089,2165,2004,68,390,250,http://www.redfin.com/MA/Boston/21-Dorr-St-02119/unit-A/home/11838229,72835116,42.3271177,-71.0917598
Condo/Co-op,77 Pearl St #1,Charlestown,MA,2129,520000,1,1,,580,,1875,,897,,http://www.redfin.com/MA/Charlestown/77-Pearl-St-02129/unit-1/home/12431272,,42.3801108,-71.0628845
Condo/Co-op,27-29 Commonwealth Ave #6,Newton,MA,2467,520000,1,1,Newton,753,14993,1927,71,691,490,http://www.redfin.com/MA/Chestnut-Hill/27-Commonwealth-Ave-02467/unit-6/home/19003435,72827543,42.3401454,-71.1678091
Single Family Residential,24 Hamilton St,Boston,MA,2136,630000,3,2,Boston,1900,9900,1910,23,332,,http://www.redfin.com/MA/Hyde-Park/24-Hamilton-St-02136/home/9134734,72866994,42.235691,-71.131251
Townhouse,60 Newton St #60,Boston,MA,2135,840000,3,2.5,Boston,1600,1600,2013,71,525,215,http://www.redfin.com/MA/Boston/60-Newton-St-02135/unit-60/home/45493841,72824450,42.3568878,-71.1654273
Single Family Residential,51 Stanbro St,Boston,MA,2136,725000,3,2.5,Boston,2226,5979,2002,27,326,,http://www.redfin.com/MA/Hyde-Park/51-Stanbro-St-02136/home/9315514,72862112,42.2344696,-71.1296495
Condo/Co-op,6 Hamilton Rd #1,Brookline,MA,2446,1025000,3,2,,1321,,1915,,776,,http://www.redfin.com/MA/Brookline/6-Hamilton-Rd-02446/unit-1/home/11448728,,42.3503687,-71.1258091
